|Исполнение|Тип накопителя|Назначение|Объем|Форм-фактор|Интерфейсы подключения|Объем буфера обмена|Частота вращения шпинделя|Кол-во пластин|Среднее время поиска|Потребляемая мощность при ожидании|Ударостойкость при работе|Уровень шума в режиме ожидания|Наработка на отказ|Гарантия производителя|Потребляемая мощность при работе|Уровень шума при чтении|Функции и возможности|Пыле-,влагозащита|Стандарт защиты MIL-STD-810|Источник питания (внешние)|Корпус|Размеры|Вес|Объем кеш-памяти NAND|Метод записи|Скорость передачи данных|Маркировка производителя|Гелиевый|Код EAN / UPS / GTIN|Чехол в комплекте
"Dell SAS 2.5"" 400-22284 400-22284"|встраиваемый|HDD|для сервера|1000 ГБ|"2.5 """|SAS||7200 об/мин|||||||||||||||||||||||
"Dell SAS 2.5"" 400-AEEK 400-AEEK"|встраиваемый|HDD|для сервера|300 ГБ|"2.5 """|SAS||15000 об/мин|||||||||||||||||||||||
"Dell SAS 2.5"" 400-AEER 400-AEER"|встраиваемый|HDD|для сервера|600 ГБ|"2.5 """|SAS||10000 об/мин|||||||||||||||||||||||
"Dell SAS 2.5"" 400-AEEU 400-AEEU"|встраиваемый|HDD|для сервера|600 ГБ|"2.5 """|SAS||10000 об/мин|||||||||||||||||||||||
"Dell SAS 2.5"" 400-AEFF 400-AEFF"|встраиваемый|HDD|для сервера|1000 ГБ|"2.5 """|SAS||7200 об/мин|||||||||||||||||||||||
HP Server SATA 571230-B21 571230-B21|встраиваемый|HDD|для сервера|250 ГБ|"3.5 """|SATA, SATA 2||7200 об/мин||11 мс|||||||||||||111x26x184 мм||||||||
HP Server SATA 684058-B21 684058-B21|встраиваемый|HDD|для сервера|1000 ГБ|"3.5 """|SATA, SATA 2||7200 об/мин||9 мс|||||||||||||||||||||
"HP MSA SAS 2.5"" C8S62A C8S62A"|встраиваемый|HDD|для сервера|1000 ГБ|"2.5 """|SAS||7200 об/мин|||||||||||||||||||||||
HP Server SATA GE262AA GE262AA|встраиваемый|HDD|для сервера|1000 ГБ|"3.5 """|SATA, SATA 2||7200 об/мин|||||||||||||||||||||||
HP Server SATA QB576AA QB576AA|встраиваемый|HDD|для сервера|2000 ГБ|"3.5 """|SATA, SATA 2, SATA 3||7200 об/мин|||||||||||||||||||||||
"Dell SAS 2.5"" 400-21031 400-21031"|встраиваемый|HDD|для сервера|600 ГБ|"2.5 """|SAS||10000 об/мин|||||||||||||||||||||||
"Dell SAS 2.5"" 400-24988 400-24988"|встраиваемый|HDD|для сервера|300 ГБ|"2.5 """|SAS|16 МБ|15000 об/мин||5 мс|||||||||||||||||||||
"Dell SAS 2.5"" 400-26661 400-26661"|встраиваемый|HDD|для сервера|1200 ГБ|"2.5 """|SAS||10000 об/мин|||||||||||||||||||||||
"Dell SAS 2.5"" 400-AEEI 400-AEEI"|встраиваемый|HDD|для сервера|300 ГБ|"2.5 """|SAS||15000 об/мин|||||||||||||||||||||||
"Dell SAS 2.5"" 400-AEEW 400-AEEW"|встраиваемый|HDD|для сервера|600 ГБ|"2.5 """|SAS|16 МБ|15000 об/мин|||||||||||||||||||||||
"Dell SAS 2.5"" 400-AEFE 400-AEFE"|встраиваемый|HDD|для сервера|1000 ГБ|"2.5 """|SAS||10000 об/мин|||||||||||||||||||||||
"Dell SAS 2.5"" 400-AEFQ 400-AEFQ"|встраиваемый|HDD|для сервера|1200 ГБ|"2.5 """|SAS|32 МБ|10000 об/мин|||||||||||||||||||||||
"Dell SAS 2.5"" 400-AJPP 400-AJPP"|встраиваемый|HDD|для сервера|600 ГБ|"2.5 """|SAS||10000 об/мин|||||||||||||||||||||||
"Dell SAS 2.5"" X160K X160K"|встраиваемый|HDD|для сервера|146 ГБ|"2.5 """|SAS||10000 об/мин||5 мс|||||||||||||||||||||
HP Server SATA 411276-B21 411276-B21|встраиваемый|HDD|для сервера|250 ГБ|"3.5 """|SATA||7200 об/мин|||||||||||||||102x26x147 мм||||||||
HP Server SATA 458945-B21 458945-B21|встраиваемый|HDD|для сервера|160 ГБ|"3.5 """|SATA, SATA 2||7200 об/мин|||||||||||||||||||||||
HP Server SATA 458947-B21 458947-B21|встраиваемый|HDD|для сервера|160 ГБ|"3.5 """|SATA, SATA 2||7200 об/мин|||||||||||||||||||||||
HP Server SATA 482483-001 482483-001|встраиваемый|HDD|для сервера|250 ГБ|"3.5 """|SATA, SATA 2||7200 об/мин|||||||||||||||||||||||
HP Server SATA 483095-001 483095-001|встраиваемый|HDD|для сервера|160 ГБ|"3.5 """|SATA, SATA 2||7200 об/мин||9 мс|||||||||||||||||||||
HP Server SATA 484429-003 484429-003|встраиваемый|HDD|для сервера|160 ГБ|"3.5 """|SATA, SATA 2|16 МБ|7200 об/мин|||||||||||||||||||||||
HP Server SATA 571227-002 571227-002|встраиваемый|HDD|для сервера|250 ГБ|"3.5 """|SATA, SATA 2||7200 об/мин||9 мс|||||||||||||||||||||
HP Server SATA 571232-B21 571232-B21|встраиваемый|HDD|для сервера|250 ГБ|"3.5 """|SATA, SATA 2||7200 об/мин||11 мс|||||||||||||102x26x147 мм||||||||
HP Server SATA 574021-B21 574021-B21|встраиваемый|HDD|для сервера|160 ГБ|"3.5 """|SATA, SATA 2||7200 об/мин|||||||||||||||||||||||
"Dell SAS 2.5"" 400-21564 400-21564"|встраиваемый|HDD|для сервера|600 ГБ|"2.5 """|SAS||10000 об/мин|||||||||||||||||||||||
"Dell SAS 2.5"" 400-22932 400-22932"|встраиваемый|HDD|для сервера|900 ГБ|"2.5 """|SAS||10000 об/мин|||||||||||||||||||||||
"Dell SAS 2.5"" 400-24972 400-24972"|встраиваемый|HDD|для сервера|900 ГБ|"2.5 """|SAS||10000 об/мин|||||||||||||||||||||||
"Dell SAS 2.5"" 400-AGTP 400-AGTP"|встраиваемый|HDD|для сервера|1800 ГБ|"2.5 """|SAS||10000 об/мин|||||||||||||||||||||||
"Dell SAS 2.5"" 400-AGTS 400-AGTS"|встраиваемый|HDD|для сервера|1800 ГБ|"2.5 """|SAS||10000 об/мин|||||||||||||||||||||||
"Dell SAS 2.5"" 400-AJPD 400-AJPD"|встраиваемый|HDD|для сервера|1200 ГБ|"2.5 """|SAS||10000 об/мин|||||||||||||||||||||||
HP Server SATA 793683-B21 793683-B21|встраиваемый|HDD|для сервера|6000 ГБ|"3.5 """|SATA, SATA 2, SATA 3||7200 об/мин||||||||||||||||1360 г|||||||
HP Server SATA 815631-B21 815631-B21|встраиваемый|HDD|для сервера|2000 ГБ|"3.5 """|SATA, SATA 2, SATA 3||7200 об/мин|||||||||||||||||||||||
HP Server SATA 843268-B21 843268-B21|встраиваемый|HDD|для сервера|2000 ГБ|"3.5 """|SATA, SATA 2, SATA 3||7200 об/мин|||||||||||||||||||||||
"HP MSA SAS 2.5"" J9F44A J9F44A"|встраиваемый|HDD|для сервера|300 ГБ|"2.5 """|SAS||10000 об/мин|||||||||||||||||||||||
"HP MSA SAS 2.5"" J9F47A J9F47A"|встраиваемый|HDD|для сервера|900 ГБ|"2.5 """|SAS||10000 об/мин|||||||||||||||||||||||
HP Server SATA 395473-B21 395473-B21|встраиваемый|HDD|для сервера|500 ГБ|"3.5 """|SATA||7200 об/мин|||||||||||||||||||||||
"Dell SAS 2.5"" 400-25619 400-25619"|встраиваемый|HDD|для сервера|1000 ГБ|"2.5 """|SAS||7200 об/мин|||||||||||||||||||||||
"Dell SAS 2.5"" 400-AGML 400-AGML"|встраиваемый|HDD|для сервера|1800 ГБ|"2.5 """|SAS||10000 об/мин|||||||||||||||||||||||
"Dell SAS 2.5"" 400-AJQP 400-AJQP"|встраиваемый|HDD|для сервера|1800 ГБ|"2.5 """|SAS||10000 об/мин|||||||||||||||||||||||
"Dell SAS 2.5"" 400-AJQV 400-AJQV"|встраиваемый|HDD|для сервера|1800 ГБ|"2.5 """|SAS||10000 об/мин|||||||||||||||||||||||
"Dell SAS 2.5"" 400-AJOT 400-AJOT"|встраиваемый|HDD|для сервера|600 ГБ|"2.5 """|SAS||10000 об/мин|||||||||||||||||||||||
"Dell SAS 2.5"" 400-AJOZ 400-AJOZ"|встраиваемый|HDD|для сервера|300 ГБ|"2.5 """|SAS||10000 об/мин|||||||||||||||||||||||
"Dell SAS 2.5"" 400-AEYR 400-AEYR"|встраиваемый|HDD|для сервера|600 ГБ|"2.5 """|SAS|16 МБ|10000 об/мин||3 мс|||||||||||||||||||||
"Dell SAS 2.5"" 400-ABPU 400-ABPU"|встраиваемый|HDD|для сервера|1200 ГБ|"2.5 """|SAS||10000 об/мин|||||||||||||||||||||||
"Dell SAS 2.5"" 400-ADPJ 400-ADPJ"|встраиваемый|HDD|для сервера|600 ГБ|"2.5 """|SAS||15000 об/мин|||||||||||||||||||||||
"Dell SAS 2.5"" 400-AFTB 400-AFTB"|встраиваемый|HDD|для сервера|300 ГБ|"2.5 """|SAS||10000 об/мин|||||||||||||||||||||||
"Dell SAS 2.5"" 400-ALUQ 400-ALUQ"|встраиваемый|HDD|для сервера|1000 ГБ|"2.5 """|SAS||7200 об/мин|||||||||||||||||||||||
HP Server SATA 858596-B21 858596-B21|встраиваемый|HDD|для сервера|2000 ГБ|"3.5 """|SATA, SATA 2, SATA 3||7200 об/мин|||||||||||||||||||||||
HP Server SATA 858594-B21 858594-B21|встраиваемый|HDD|для сервера|1000 ГБ|"3.5 """|SATA, SATA 2, SATA 3||7200 об/мин|||||||||||||||||||||||
HP Server SATA 843270-B21 843270-B21|встраиваемый|HDD|для сервера|3000 ГБ|"3.5 """|SATA, SATA 2, SATA 3||7200 об/мин|||||||||||||||||||||||
HP Server SATA 815614-B21 815614-B21|встраиваемый|HDD|для сервера|1000 ГБ|"3.5 """|SATA, SATA 2, SATA 3||7200 об/мин|||||||||||||||||||||||
"Dell SAS 2.5"" 400-AJPC 400-AJPC"|встраиваемый|HDD|для сервера|1200 ГБ|"2.5 """|SAS||10000 об/мин|||||||||||||||||||||||
"Dell SAS 2.5"" 400-ATIL 400-ATIL"|встраиваемый|HDD|для сервера|600 ГБ|"2.5 """|SAS||10000 об/мин|||||||||||||||||||||||
"Dell SAS 2.5"" 400-ATIQ 400-ATIQ"|встраиваемый|HDD|для сервера|900 ГБ|"2.5 """|SAS||15000 об/мин|||||||||||||||||||||||
"Dell SAS 2.5"" 400-ATIR 400-ATIR"|встраиваемый|HDD|для сервера|900 ГБ|"2.5 """|SAS||15000 об/мин|||||||||||||||||||||||
"Dell SAS 2.5"" 400-AUNQ 400-AUNQ"|встраиваемый|HDD|для сервера|600 ГБ|"2.5 """|SAS||10000 об/мин|||||||||||||||||||||||
"Dell SAS 2.5"" 400-AJOR 400-AJOR"|встраиваемый|HDD|для сервера|600 ГБ|"2.5 """|SAS||10000 об/мин|||||||||||||||||||||||
"Dell SAS 2.5"" 400-AJRE 400-AJRE"|встраиваемый|HDD|для сервера|600 ГБ|"2.5 """|SAS||15000 об/мин|||||||||||||||||||||||
HP Midline SAS 846514-B21 846514-B21|встраиваемый|HDD|для сервера|6000 ГБ|"3.5 """|SAS||7200 об/мин|||||||||||||||||||||||
"Dell SAS 2.5"" 400-ASGT 400-ASGT"|встраиваемый|HDD|для сервера|600 ГБ|"2.5 """|SAS||7200 об/мин|||||||||||||||||||||||
Dell SATA 7.2K 400-ASHF 400-ASHF|встраиваемый|HDD|для сервера|1000 ГБ|"3.5 """|SATA, SATA 2, SATA 3||7200 об/мин|||||||||||||||||||||||
"Dell SAS 2.5"" 400-ATJD 400-ATJD"|встраиваемый|HDD|для сервера|1000 ГБ|"2.5 """|SAS||15000 об/мин|||||||||||||||||||||||
Dell SATA 7.2K 400-ATKB 400-ATKB|встраиваемый|HDD|для сервера|2000 ГБ|"3.5 """|SATA, SATA 2, SATA 3||7200 об/мин|||||||||||||||||||||||
"Dell SAS 2.5"" 400-APGC 400-APGC"|встраиваемый|HDD|для сервера|900 ГБ|"2.5 """|SAS||15000 об/мин|||||||||||||||||||||||
Dell SATA 7.2K 400-ASIE 400-ASIE|встраиваемый|HDD|для сервера|4000 ГБ|"3.5 """|SATA, SATA 2, SATA 3||7200 об/мин|||||||||||||||||||||||
Dell SATA 7.2K 400-ATJZ 400-ATJZ|встраиваемый|HDD|для сервера|2000 ГБ|"3.5 """|SATA, SATA 2, SATA 3||7200 об/мин|||||||||||||||||||||||
Dell SATA 7.2K 401-ABHY 401-ABHY|встраиваемый|HDD|для сервера|12000 ГБ|"3.5 """|SATA, SATA 2, SATA 3||7200 об/мин|||||||||||||||||||||||
Dell SATA 7.2K 400-AYTC 400-AYTC|встраиваемый|HDD|для сервера|1000 ГБ|"3.5 """|SATA, SATA 2, SATA 3||7200 об/мин|||||||||||||||||||||||
Dell SATA 7.2K 400-ASHX 400-ASHX|встраиваемый|HDD|для сервера|2000 ГБ|"3.5 """|SATA, SATA 2, SATA 3||7200 об/мин|||||||||||||||||||||||
Dell SATA 7.2K 401-ABEK 401-ABEK|встраиваемый|HDD|для сервера|4000 ГБ|"3.5 """|SATA, SATA 2, SATA 3||7200 об/мин|||||||||||||||||||||||
"Dell SAS 2.5"" 400-ALQZ 400-ALQZ"|встраиваемый|HDD|для сервера|1000 ГБ|"2.5 """|SAS||7200 об/мин|||||||||||||||||||||||
"Dell SAS 2.5"" 400-AMZN 400-AMZN"|встраиваемый|HDD|для сервера|1000 ГБ|"2.5 """|SAS||7200 об/мин|||||||||||||||||||||||
"HP Server SAS 15K 2.5"" 730705-001 730705-001"|встраиваемый|HDD|для сервера|300 ГБ|"2.5 """|SAS||15000 об/мин|||||||2 года||||||||||||||||
"Dell SAS 2.5"" 400-AJRX 400-AJRX"|встраиваемый|HDD|для сервера|300 ГБ|"2.5 """|SAS||15000 об/мин|||||||||||||||||||||||
Dell SATA 7.2K 400-ASHG 400-ASHG|встраиваемый|HDD|для сервера|1000 ГБ|"3.5 """|SATA, SATA 2, SATA 3||7200 об/мин|||||||||||||||||||||||
Dell SATA 7.2K 400-AUPW 400-AUPW|встраиваемый|HDD|для ПК|1000 ГБ|"3.5 """|SATA, SATA 2, SATA 3||7200 об/мин|||||||||||||||||||||||
Dell SATA 7.2K 400-AUST 400-AUST|встраиваемый|HDD|для сервера|2000 ГБ|"3.5 """|SATA, SATA 2, SATA 3||7200 об/мин|||||||||||||||||||||||
"HP Server SAS 15K 2.5"" P40432-B21 P40432-B21"|встраиваемый|HDD|для сервера|900 ГБ|"2.5 """|SAS||15000 об/мин|||||||2 года||||||||||||||||
Dell SATA 7.2K 400-BLLF 400-BLLF|встраиваемый|HDD|для сервера|4000 ГБ|"3.5 """|SATA 2, SATA 3||7200 об/мин|||||||||||||||||||||||
Dell SATA 7.2K 400-AVBD 400-AVBD|встраиваемый|HDD|для сервера|1000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|128 МБ|7200 об/мин|||||||||||||||||||600 МБ/с||||
WD NasWare Red WD40EFRX 40EFRX|встраиваемый|HDD|для сервера|4000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|64 МБ|5400 об/мин|||3.3 Вт|65 G|25 дБ|1 млн. ч|3 года|4.5 Вт|28 дБ|||||||||CMR|||||
Seagate Constellation ES.3 ST2000NM0023 ST2000NM0023|встраиваемый|HDD|для сервера|2000 ГБ|"3.5 """|SAS|128 МБ|7200 об/мин||||||1.4 млн. ч|5 лет||||||||||||||||
Seagate Constellation ES.3 ST1000NM0023 ST1000NM0023|встраиваемый|HDD|для сервера|1000 ГБ|"3.5 """|SAS|128 МБ|7200 об/мин||||||1.4 млн. ч|1 год||||||||||||175 МБ/с||||
Seagate Enterprise Capacity 3.5 HDD ST6000NM0084 ST6000NM0084|встраиваемый|HDD|для сервера|6000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|128 МБ|7200 об/мин||4 мс|6.9 Вт|70 G / 40 при записи /||1.4 млн. ч|5 лет|11.27 Вт||шифрование данных / SED-FIPS /|||||102x147x26 мм|780 г|||||||
"HP Server SAS 2.5"" 718160-B21 718160-B21"|встраиваемый|HDD|для сервера|1200 ГБ|"2.5 """|SAS|16 МБ|10000 об/мин|||||||||||||||78x16x138 мм|450 г|||||||
HP MSA SAS J9V68A J9V68A|встраиваемый|HDD|для сервера|300 ГБ|"3.5 """|SAS||15000 об/мин|||||||||||||||||||||||
HP MSA SAS AJ736A AJ736A|встраиваемый|HDD|для сервера|300 ГБ|"3.5 """|SAS||15000 об/мин||4 мс||||1.7 млн. ч|||||||||||||||||
WD Gold WD6002FRYZ 6002FRYZ|встраиваемый|HDD|для сервера|6000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|128 МБ|7200 об/мин|||7.1 Вт|70 G|29 дБ|600 тыс. раз|5 лет|9.3 Вт|36 дБ||||||147x26x102 мм|715 г|||||||
WD Gold WD101KRYZ 101KRYZ|встраиваемый|HDD|для сервера|10000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|256 МБ|7200 об/мин|||5 Вт|70 G|20 дБ|600 тыс. раз|5 лет|7 Вт|36 дБ||||||147x26x102 мм|660 г|||||||
Seagate Enterprise Capacity 3.5 HDD ST8000NM0016 ST8000NM0016|встраиваемый|HDD|для сервера|8000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|256 МБ|7200 об/мин||4 мс|4.5 Вт|40 G||2.5 млн. ч|5 лет|8.4 Вт|||||||147x102x26 мм|650 г|||||||
"HP Server SAS 10K 2.5"" Q2R41A Q2R41A"|встраиваемый|HDD|для сервера|2400 ГБ|"2.5 """|SAS||10000 об/мин|||||||2 года||||||||||||||||
"HP Server SAS 15K 2.5"" 869714-001 869714-001"|встраиваемый|HDD|для сервера|300 ГБ|"2.5 """|SAS||15000 об/мин|||||||2 года||||||||||||||||
Verbatim Fingerprint Secure Portable 53650 53650|внешний|HDD|для ПК|1000 ГБ|"2.5 """|USB 3.2 gen1||5400 об/мин|||||||2 года||||||USB порт|металлический / алюминий /|116x81x17 мм|182 г|||||||
Dell SAS 10K 400-AUVR 400-AUVR|встраиваемый|HDD|для сервера|2400 ГБ|"2.5 """|SAS||10000 об/мин|||||||||||||||||||||||
"Transcend StoreJet 25H3 2.5"" TS500GSJ25H3P TS500GSJ25H3P"|внешний|HDD|для ПК|500 ГБ|"2.5 """|USB 3.2 gen1|8 МБ|5400 об/мин|||||||3 года|||ударостойкий корпус, шифрование данных, кнопка резервного копирования||Есть|USB порт|прорезиненный|132x81x19 мм|216 г|||||||
Seagate Enterprise Capacity 3.5 HDD ST6000NM0054 ST6000NM0054|встраиваемый|HDD|для сервера|6000 ГБ|"3.5 """|SAS|128 МБ|7200 об/мин||4 мс|7.97 Вт|70 G / 40 при записи /||1.4 млн. ч|5 лет|11.86 Вт||шифрование данных / SED /|||||102x147x26 мм|780 г|||||||
HP Midline SATA 458928-B21 458928-B21|встраиваемый|HDD|для сервера|500 ГБ|"3.5 """|SATA||7200 об/мин|||||||||||||||||||||||
HP Midline SATA 507632-B21 507632-B21|встраиваемый|HDD|для сервера|2000 ГБ|"3.5 """|SATA||7200 об/мин||9 мс|||||||||||||184x110x26 мм||||||||
HP Midline SATA 507774-B21 507774-B21|встраиваемый|HDD|для сервера|2000 ГБ|"3.5 """|SATA, SATA 2|64 МБ|7200 об/мин|||||||||||||||102x26x147 мм||||||||
HP Midline SATA 628061-B21 628061-B21|встраиваемый|HDD|для сервера|3000 ГБ|"3.5 """|SATA, SATA 2, SATA 3||7200 об/мин|||||||||||||||||||||||
HP Midline SAS 652753-B21 652753-B21|встраиваемый|HDD|для сервера|1000 ГБ|"3.5 """|SAS||7200 об/мин||9 мс|||||||||||||189x111x26 мм||||||||
HP Midline SAS 652766-B21 652766-B21|встраиваемый|HDD|для сервера|3000 ГБ|"3.5 """|SAS||7200 об/мин||9 мс|||||||||||||106x17x27 мм||||||||
HP Midline SATA 658079-B21 658079-B21|встраиваемый|HDD|для сервера|2000 ГБ|"3.5 """|SATA, SATA 2, SATA 3||7200 об/мин|||||||||||||||106x170x27 мм||||||||
HP Midline SATA 659337-B21 659337-B21|встраиваемый|HDD|для сервера|1000 ГБ|"3.5 """|SATA, SATA 2, SATA 3||7200 об/мин||8 мс|||||||||||||102x25x147 мм||||||||
HP Midline SATA 659339-B21 659339-B21|встраиваемый|HDD|для сервера|2000 ГБ|"3.5 """|SATA, SATA 2, SATA 3||7200 об/мин||8 мс|||||||||||||147x102x25 мм||||||||
HP Midline SATA 659341-B21 659341-B21|встраиваемый|HDD|для сервера|500 ГБ|"3.5 """|SATA, SATA 2, SATA 3||7200 об/мин||8 мс|||||||||||||102x25x147 мм||||||||
HP Midline SATA 693687-B21 693687-B21|встраиваемый|HDD|для сервера|4000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|64 МБ|7200 об/мин||9 мс|||||||||||||106x170x27 мм||||||||
HP Midline SAS 693689-B21 693689-B21|встраиваемый|HDD|для сервера|4000 ГБ|"3.5 """|SAS||7200 об/мин||9 мс|||||||||||||106x170x27 мм||||||||
HP Midline SATA 694374-B21 694374-B21|встраиваемый|HDD|для сервера|4000 ГБ|"3.5 """|SATA, SATA 2|64 МБ|7200 об/мин|||||||||||||||111x184x26 мм||||||||
HP Midline SAS 695510-B21 695510-B21|встраиваемый|HDD|для сервера|4000 ГБ|"3.5 """|SAS||7200 об/мин||8 мс|||||||||||||||||||||
HP Midline SATA 753874-B21 753874-B21|встраиваемый|HDD|для сервера|6000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|64 МБ|7200 об/мин|6 шт|4 мс|||||||||||||106x27x170 мм||||||||
"HP Server SAS 2.5"" 759210-B21 759210-B21"|встраиваемый|HDD|для сервера|450 ГБ|"2.5 """|SAS|8 МБ|15000 об/мин||3 мс|||||||||||||76x119x16 мм||||||||
HP Midline SAS 761477-B21 761477-B21|встраиваемый|HDD|для сервера|6000 ГБ|"3.5 """|SAS|64 МБ|7200 об/мин||4 мс|||||||||||||106x27x170 мм||||||||
HP Midline SATA 765253-B21 765253-B21|встраиваемый|HDD|для сервера|4000 ГБ|"3.5 """|SATA, SATA 2, SATA 3||7200 об/мин|||||||||||||||102x26x147 мм||||||||
HP Midline SAS J9F43A J9F43A|встраиваемый|HDD|для сервера|6000 ГБ|"3.5 """|SAS||7200 об/мин|||||||||||||||||||||||
"Seagate Savvio 10K.6 2.5"" ST300MM0006 ST300MM0006"|встраиваемый|HDD|для сервера|300 ГБ|"2.5 """|SAS|64 МБ|10000 об/мин|3 шт|3 мс|3 Вт|40 G||2 млн. ч|5 лет||||||||70x15x100 мм||||||||
HP Midline SATA 507772-B21 507772-B21|встраиваемый|HDD|для сервера|1000 ГБ|"3.5 """|SATA, SATA 2|32 МБ|7200 об/мин||9 мс|||||||||||||102x26x147 мм||||||||
HP Midline SAS 507614-B21 507614-B21|встраиваемый|HDD|для сервера|1000 ГБ|"3.5 """|SAS||7200 об/мин||9 мс|||||||||||||||||||||
HP Midline SATA 454146-B21 454146-B21|встраиваемый|HDD|для сервера|1000 ГБ|"3.5 """|SATA, SATA 2||7200 об/мин|||||||||||||||||||||||
HP Midline SAS 625031-B21 625031-B21|встраиваемый|HDD|для сервера|3000 ГБ|"3.5 """|SAS|64 МБ|7200 об/мин|||||||||||||||189x111x26 мм||||||||
HP Midline SATA 658071-B21 658071-B21|встраиваемый|HDD|для сервера|500 ГБ|"3.5 """|SATA, SATA 2, SATA 3||7200 об/мин||9 мс|||||||||||||106x170x27 мм||||||||
"HP Server SAS 2.5"" QR478A QR478A"|встраиваемый|HDD|для сервера|900 ГБ|"2.5 """|SAS||10000 об/мин|||||||||||||||||||||||
HP Midline SAS J9F50A J9F50A|встраиваемый|HDD|для сервера|1000 ГБ|"3.5 """|SAS||7200 об/мин|||||||||||||||||||||||
"HP Server SAS 2.5"" 512545-B21 512545-B21"|встраиваемый|HDD|для сервера|72 ГБ|"2.5 """|SAS||15000 об/мин|||||||||||||||||||||||
"HP Server SAS 2.5"" 627117-B21 627117-B21"|встраиваемый|HDD|для сервера|300 ГБ|"2.5 """|SAS||15000 об/мин||3 мс|||||||||||||138x79x16 мм||||||||
HP Midline SAS 652757-B21 652757-B21|встраиваемый|HDD|для сервера|2000 ГБ|"3.5 """|SAS||7200 об/мин|||||||||||||||170x106x27 мм||||||||
HP Midline SATA 458939-B21 458939-B21|встраиваемый|HDD|для сервера|250 ГБ|"3.5 """|SATA, SATA 2||7200 об/мин|||||||||||||||102x26x147 мм||||||||
HP Midline SATA 462595-B21 462595-B21|встраиваемый|HDD|для сервера|750 ГБ|"3.5 """|SATA, SATA 2||7200 об/мин|||||||||||||||102x26x147 мм||||||||
"HP Server SAS 2.5"" 507125-B21 507125-B21"|встраиваемый|HDD|для сервера|146 ГБ|"2.5 """|SAS||10000 об/мин||4 мс|||||||||||||138x79x16 мм||||||||
HP Midline SAS 625030-001 625030-001|встраиваемый|HDD|для сервера|3000 ГБ|"3.5 """|SAS||7200 об/мин||4 мс|||||||||||||||||||||
HP Midline SATA 628059-B21 628059-B21|встраиваемый|HDD|для сервера|3000 ГБ|"3.5 """|SATA, SATA 2||7200 об/мин||9 мс|||||||||||||111x26x184 мм||||||||
HP Midline SATA 628065-B21 628065-B21|встраиваемый|HDD|для сервера|3000 ГБ|"3.5 """|SATA, SATA 2, SATA 3||7200 об/мин||8 мс|||||||||||||102x26x147 мм||||||||
HP Midline SAS 765257-B21 765257-B21|встраиваемый|HDD|для сервера|4000 ГБ|"3.5 """|SAS||7200 об/мин||||||||||||||||450 г|||||||
"HP Server SAS 2.5"" 507610-B21 507610-B21"|встраиваемый|HDD|для сервера|500 ГБ|"2.5 """|SAS||7200 об/мин|||||||||||||||||||||||
HP Midline SATA 765255-B21 765255-B21|встраиваемый|HDD|для сервера|6000 ГБ|"3.5 """|SATA, SATA 2, SATA 3||7200 об/мин||9 мс|||||||||||||106x27x170 мм||||||||
HP Midline SAS 765259-B21 765259-B21|встраиваемый|HDD|для сервера|6000 ГБ|"3.5 """|SAS||7200 об/мин||9 мс|||||||||||||170x106x27 мм||||||||
HP Midline SATA 793667-B21 793667-B21|встраиваемый|HDD|для сервера|6000 ГБ|"3.5 """|SATA, SATA 2, SATA 3||7200 об/мин||8 мс|||||||||||||106x27x170 мм||||||||
HP Midline SATA 793695-B21 793695-B21|встраиваемый|HDD|для сервера|8000 ГБ|"3.5 """|SATA, SATA 2, SATA 3||7200 об/мин||9 мс|||||||||||||106x27x170 мм||||||||
HP Midline SAS 793703-B21 793703-B21|встраиваемый|HDD|для сервера|8000 ГБ|"3.5 """|SAS||7200 об/мин||9 мс|||||||||||||106x27x170 мм||||||||
HP Midline SATA 458930-B21 458930-B21|встраиваемый|HDD|для сервера|750 ГБ|"3.5 """|SATA, SATA 2||7200 об/мин|||||||||||||||||||||||
HP Midline SAS 818365-B21 818365-B21|встраиваемый|HDD|для сервера|2000 ГБ|"3.5 """|SAS||7200 об/мин|||||||||||||||||||||||
Seagate Enterprise Capacity 3.5 HDD ST1000NM0065 ST1000NM0065|встраиваемый|HDD|для сервера|1000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|128 МБ|7200 об/мин||4 мс||40 G||2 млн. ч|5 лет|||шифрование данных|||||102x26x147 мм|610 г|||||||
Seagate Enterprise Capacity 3.5 HDD ST4000NM0115 ST4000NM0115|встраиваемый|HDD|для сервера|4000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|128 МБ|7200 об/мин||4 мс|5.45 Вт|70 G / 40 при записи /||2 млн. ч|5 лет|7 Вт|||||||102x147x26 мм|680 г|||||||
Seagate IronWolf Pro ST6000NE0023 ST6000NE0023|встраиваемый|HDD|для сервера|6000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|256 МБ|7200 об/мин|6 шт|4 мс|7.5 Вт|||1.2 млн. ч|5 лет|8.1 Вт|||||||147x102x26 мм|705 г|||214 МБ/с||||
