|Серия|Кодовое название|Разъем (Socket)|Техпроцесс|Тактовая частота|Тепловыделение (TDP)|Поддержка инструкций|Множитель|Макс. рабочая температура|Кол-во ядер|Кэш 1-го уровня L1|Кэш 2-го уровня L2|Кол-во потоков|Модель IGP|Частота системной шины|Кэш 3-го уровня L3|Макс. объем ОЗУ|Макс. частота DDR3|Число каналов|Маркировка производителя|Частота TurboBoost / TurboCore|Комплектация|Свободный множитель|кэш 1-го уровня L1|кэш 2-го уровня L2|кэш 3-го уровня L3|Многопоточность|Поддержка PCI Express|Макс. частота DDR4|Тепловыделение Max (TDP)|Макс. частота DDR5|Performance-core Base|Efficient-core Base|Частота TurboBoost Max 3.0|Performance-core Max|Efficient-core Max|Performance|Efficient|Тест Passmark CPU Mark|Тест Geekbench 4|Тест Cinebench R15|1-го уровня L1|2-го уровня L2|3-го уровня L3|Макс. объем|Комплектуется кулером|Код EAN / UPS / GTIN
Intel Core i3 Raptor Lake Refresh 14100F OEM|Core i3|Raptor Lake Refresh|Intel LGA 1700|10 нм||58 Вт|SSE4.1, SSE4.2, AVX2||100 °С|4 cores|||8 threads|отсутствует|||192 ГБ||2 шт|CM8071505092207|4.7 ГГц|OEM (без коробки)||||12 МБ|Есть|5.0|3200 МГц|110 Вт|4800 МГц|3.5 ГГц|||||4 cores||||||||||
Intel Xeon Scalable Gold 3rd Gen 6348 OEM|Xeon|Ice Lake|Intel LGA 4189|10 нм|2.6 ГГц|235 Вт|SSE4.2, AVX, AVX2, AVX-512||80 °С|28 cores|||26 threads|отсутствует|||6000 ГБ||8 шт|CD8068904572204|3.5 ГГц|OEM (без коробки)||||42 МБ|Есть||3200 МГц||||||||||||||||||
AMD Ryzen 7 Phoenix 8700G OEM|Ryzen 7|Phoenix (Zen 4)|AMD AM5|4 нм|4.2 ГГц|65 Вт|AVX2, AVX512, FMA3, MMX(+), SHA, SSE, SSE2, SSE3, SSE4.1, SSE4.2||95 °С|8 cores|||16 threads|Radeon 780M|||256 ГБ||2 шт|100-000001236|5.1 ГГц|OEM (без коробки)|Есть|||16 МБ|Есть|4.0|||5200 МГц||||||||||||||||
Intel Xeon E5 v4 E5-2630 v4|Xeon|Broadwell|Intel LGA 2011 v3|14 нм|2.2 ГГц|85 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2, BMI / BMI1, BMI2, F16C, FMA3, EM64T, NX, XD, HT, VT-x, VT-d, TBT 2.0, TXT /|22|74 °С|10 cores|||20 threads|отсутствует|8 ГТ/с||||4 шт|BX80660E52630V4|3.1 ГГц||||||Есть||2133 МГц|||||||||||||640 КБ|2560 КБ|25 МБ|1536 ГБ||
AMD Rome EPYC 7F32 OEM|EPYC|Rome (Zen 2)|AMD SP3|7 нм|3.7 ГГц|180 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4A, AES, AVX, AVX2, BMI1, SHA / F16C, FMA3, AMD64, EVP, AMD-V, SMAP, SMEP, Precision Boost 2, SMT /|||8 cores|||16 threads|отсутствует|||||8 шт|100-000000139|3.9 ГГц|OEM (без коробки)||512 КБ|4096 КБ|128 МБ|Есть||3200 МГц||||||||||22303 балл(ов)|18093 балл(ов)|||||||
Intel Xeon E-2200 E-2236|Xeon|Coffee Lake|Intel LGA 1151 v2|14 нм|3.4 ГГц|80 Вт|SSE4.1, SSE4.2, AVX2||100 °С|6 cores|||12 threads|отсутствует|||||2 шт|CM8068404174603|4.8 ГГц||||||Есть|3.0|2666 МГц|||||||||||||||12 МБ|128 ГБ||
AMD Milan EPYC 7513 OEM|EPYC|Milan (Zen 3)|AMD SP3|7 нм|2.6 ГГц|200 Вт||||32 cores|||64 threads|отсутствует|||||8 шт|100-000000334|3.65 ГГц|OEM (без коробки)||||128 МБ|Есть||3200 МГц||||||||||||||||||
AMD Ryzen 5 Cezanne 5600GT BOX|Ryzen 5|Cezanne (Zen 3)|AMD AM4|7 нм|3.6 ГГц|65 Вт|||95 °С|6 cores|||12 threads|Radeon|||128 ГБ||2 шт|100-100001488BOX|4.6 ГГц|BOX (с кулером) / Wraith Stealth /|Есть|384 КБ|3072 КБ|16 МБ|Есть|3.0|3200 МГц||||||||||||||||||
AMD Milan EPYC 7413 OEM|EPYC|Milan (Zen 3)|AMD SP3|7 нм|2.65 ГГц|180 Вт||||24 cores|||48 threads|отсутствует|||||8 шт|100-000000323|3.6 ГГц|OEM (без коробки)||||128 МБ|Есть||3200 МГц||||||||||||||||||
AMD Rome EPYC 7742 OEM|EPYC|Rome (Zen 2)|AMD SP3|7 нм|2.25 ГГц|225 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, SSE4a, AES, AVX / AVX2, BMI, BMI1, BMI2, SHA, F16C, FMA3, AMD64, EVP, AMD-V, SMAP, SMEP /|||64 cores|||128 threads|отсутствует|||||8 шт|100-000000053|3.4 ГГц|OEM (без коробки)||||256 МБ|Есть||3200 МГц||||||||||||||||||
AMD Milan EPYC 7643 OEM|EPYC|Milan (Zen 3)|AMD SP3|7 нм|2.3 ГГц|225 Вт||||48 cores|||96 threads|отсутствует|||||8 шт|100-000000326|3.6 ГГц|OEM (без коробки)||||256 МБ|Есть|4.0 / x128 /|3200 МГц|240 Вт|||||||||||||||||
Intel Xeon Scalable Gold 3rd Gen 6354 OEM|Xeon|Ice Lake|Intel LGA 4189|10 нм|3 ГГц|205 Вт|SSE4.2, AVX, AVX2, AVX-512||77 °С|18 cores|||36 threads|отсутствует|||6000 ГБ||8 шт|CD8068904571601|3.6 ГГц|OEM (без коробки)||||39 МБ|Есть||3200 МГц||||||||||||||||||
Intel Xeon E5 v4 E5-2699 v4|Xeon|Broadwell|Intel LGA 2011 v3|14 нм|2.2 ГГц|145 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2, BMI / BMI1, BMI2, F16C, FMA3, EM64T, NX, XD, HT, VT-x, VT-d, TBT 2.0, TXT /|22|79 °С|22 cores|||44 threads|отсутствует|9.6 ГТ/с||1536 ГБ||4 шт||3.6 ГГц|||1408 КБ|5632 КБ|55 МБ|Есть||2400 МГц||||||||||||||||||
AMD Rome EPYC 7F72 OEM|EPYC|Rome (Zen 2)|AMD SP3|7 нм|3.2 ГГц|240 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, SSE4a, AES, AVX / AVX2, BMI, BMI1, BMI2, SHA, F16C, FMA3, AMD64, EVP, AMD-V, SMAP, SMEP /|||24 cores|||48 threads|отсутствует|||||8 шт|100-000000141|3.7 ГГц|OEM (без коробки)||||192 МБ|Есть||3200 МГц||||||||||||||||||
AMD Milan EPYC 7313P OEM|EPYC|Milan (Zen 3)|AMD SP3|7 нм|3 ГГц|155 Вт||||16 cores|||32 threads|отсутствует|||||8 шт|100-000000339|3.7 ГГц|OEM (без коробки)||||128 МБ|Есть|4.0 / Connectivity Версия PCI Express PCIe 4.0 /|3200 МГц|180 Вт|||||||||||||||||
Intel Xeon E5 v4 E5-2609 v4|Xeon|Broadwell|Intel LGA 2011 v3|14 нм|1.7 ГГц|85 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2, BMI / BMI1, BMI2, F16C, FMA3, EM64T, NX, XD, VT-x, VT-d, TXT /|17|74 °С|8 cores|||8 threads|отсутствует|6.4 ГТ/с||||4 шт|BX80660E52609V4|||||||||1866 МГц|||||||||||||512 КБ|2048 КБ|20 МБ|1536 ГБ||
Intel Xeon Gold 6126 OEM|Xeon|Skylake|Intel LGA 3647|14 нм|2.6 ГГц|125 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2 / AVX-512, BMI, BMI1, BMI2, F16C, FMA3, EM64T, NX, XD, VT-x, TXT, TSX /|26|86 °С|12 cores|||24 threads|отсутствует|10.4 ГТ/с||||6 шт|CD8067303405900|3.7 ГГц||||||Есть|3.0|2666 МГц|||||||||||||768 КБ|12288 КБ|19.25 МБ|768 ГБ||
Intel Xeon E-2200 E-2224G|Xeon|Coffee Lake|Intel LGA 1151 v2|14 нм|3.5 ГГц|71 Вт|SSE4.1, SSE4.2, AVX2||100 °С|4 cores|||4 threads|UHD Graphics P630|||||2 шт|CM8068404173806|4.7 ГГц|||||||3.0|2666 МГц|||||||||||||||8 МБ|128 ГБ||
Intel Xeon Gold Refresh 6240R OEM|Xeon|Cascade Lake|Intel LGA 3647|14 нм|2.4 ГГц|165 Вт|SSE4.2, AVX, AVX2, AVX-512||90 °С|24 cores|||48 threads|отсутствует|||||6 шт|CD8069504448600|4 ГГц||||||Есть||2933 МГц|||||||||||||||35.75 МБ|1000 ГБ||
AMD Milan EPYC 7313 OEM|EPYC|Milan (Zen 3)|AMD SP3|7 нм|3 ГГц|155 Вт||||16 cores|||32 threads|отсутствует|||||8 шт|100-000000329|3.7 ГГц|OEM (без коробки)||||128 МБ|Есть||3200 МГц||||||||||||||||||
Intel Xeon E Rocket Lake E-2386G OEM|Xeon|Rocket Lake|Intel LGA 1200|14 нм|3.5 ГГц|95 Вт|SSE4.1, SSE4.2, AVX2, AVX-512||100 °С|6 cores|||12 threads|UHD Graphics P750|8 ГТ/с||128 ГБ||2 шт|CM8070804494716|5.1 ГГц|OEM (без коробки)||||12 МБ||4.0|3200 МГц||||||||||||||||||
Intel Xeon Silver 4110|Xeon|Skylake|Intel LGA 3647|14 нм|2.1 ГГц|85 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2 / AVX-512, BMI, BMI1, BMI2, F16C, FMA3, EM64T, NX, XD, VT-x, TXT, TSX /|21|77 °С|8 cores|||16 threads|отсутствует|9.6 ГТ/с||||6 шт|BX806734110|3 ГГц||||||Есть|3.0|2400 МГц|||||||||||||512 КБ|8192 КБ|11 МБ|768 ГБ||
Intel Xeon E5 v4 E5-2620 v4|Xeon|Broadwell|Intel LGA 2011 v3|14 нм|2.1 ГГц|85 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2, BM / BMI1, BMI2, F16C, FMA3, EM64T, NX, XD, HT, VT-x, VT-d, TBT 2.0, TXT /|21|74 °С|8 cores|||16 threads|отсутствует|8 ГТ/с||||4 шт|BX80660E52620V4|3 ГГц||||||Есть||2133 МГц|||||||||||||512 КБ|2048 КБ|20 МБ|1536 ГБ||
Intel Xeon Bronze 3206R|Xeon|Cascade Lake|Intel LGA 3647|14 нм|1.9 ГГц|85 Вт|SSE4.2, AVX, AVX2, AVX-512|19|78 °С|8 cores|||8 threads|отсутствует|||1000 ГБ||6 шт|BX806953206R, CD8069504344600||||||11 МБ|||2133 МГц||||||||||||||||||
AMD Rome EPYC 7302 OEM|EPYC|Rome (Zen 2)|AMD SP3|7 нм|3 ГГц|155 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, SSE4a, AES, AVX / AVX2, BMI, BMI1, BMI2, SHA, F16C, FMA3, AMD64, EVP, AMD-V, SMAP, SMEP /|||16 cores|||32 threads|отсутствует|||||8 шт|100-000000043, 100000000043|3.3 ГГц|OEM (без коробки)||||128 МБ|Есть||3200 МГц||||||||||||||||||
Intel Core i5 Raptor Lake Refresh 14600KF BOX|Core i5|Raptor Lake Refresh|Intel LGA 1700|10 нм||125 Вт|SSE4.1, SSE4.2, AVX2|||14 cores|||20 threads|отсутствует|||192 ГБ||2 шт|BX8071514600KF, BXC8071514600KF|||Есть|||24 МБ|Есть|5.0|3200 МГц|181 Вт|5600 МГц|3.5 ГГц|2.6 ГГц||5.3 ГГц|4 ГГц|6 cores|8 cores|||||||||
Intel Xeon Scalable Gold 3rd Gen 6326 OEM|Xeon|Ice Lake|Intel LGA 4189|10 нм|2.9 ГГц|185 Вт|SSE4.2, AVX, AVX2, AVX-512||78 °С|16 cores|||32 threads|отсутствует|||||8 шт|CD8068904657502|3.5 ГГц||||||Есть||3200 МГц|||||||||||||||24 МБ|6000 ГБ||
Intel Xeon Silver 4214R|Xeon|Coffee Lake|Intel LGA 3647|14 нм|2.4 ГГц|100 Вт|SSE4.2, AVX, AVX2, AVX-512|21|79 °С|12 cores|||24 threads|отсутствует|||||6 шт|BX806954214R, CD8069504343701|3.6 ГГц||||||Есть|3.0|2400 МГц|||||||||||||||16.5 МБ|1000 ГБ||
Intel Xeon Gold Refresh 6226R OEM|Xeon|Cascade Lake|Intel LGA 3647|14 нм|2.9 ГГц|150 Вт|SSE4.2, AVX, AVX2, AVX-512||85 °С|16 cores|||32 threads|отсутствует|||||6 шт|CD8069504449000|3.9 ГГц||||||Есть||2933 МГц|||||||||||||||22 МБ|1000 ГБ||0675901818377
Intel Xeon Gold Refresh 5218R OEM|Xeon|Cascade Lake|Intel LGA 3647|14 нм|2.1 ГГц|125 Вт|SSE4.2, AVX, AVX2, AVX-512||87 °С|20 cores|||40 threads|отсутствует|||||6 шт|CD8069504446300|4 ГГц||||||Есть||2667 МГц|||||||||||||||27.5 МБ|1000 ГБ||0675901818339
Intel Xeon Silver 4114|Xeon|Skylake|Intel LGA 3647|14 нм|2.2 ГГц|85 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2 / AVX-512, BMI, BMI1, BMI2, F16C, FMA3, EM64T, NX, XD, VT-x, TXT, TSX /|22|78 °С|10 cores|||20 threads|отсутствует|9.6 ГТ/с||||6 шт|BX806734114|3 ГГц||||||Есть|3.0|2400 МГц|||||||||||||640 КБ|10240 КБ|13.75 МБ|768 ГБ||
AMD Ryzen 5 Cezanne 5500GT OEM|Ryzen 5|Cezanne (Zen 3)|AMD AM4|7 нм|3.6 ГГц|65 Вт|||95 °С|6 cores|||12 threads|Radeon|||128 ГБ||2 шт|100-000001489|4.4 ГГц|OEM (без коробки)|Есть|384 КБ|3072 КБ|16 МБ|Есть|3.0|3200 МГц||||||||||||||||||
Intel Xeon Gold Refresh 5220R OEM|Xeon|Cascade Lake|Intel LGA 3647|14 нм|2.2 ГГц|150 Вт|SSE4.2, AVX, AVX2, AVX-512||86 °С|24 cores|||48 threads|отсутствует|||||6 шт|CD8069504451301|4 ГГц||||||Есть||2667 МГц|||||||||||||||35.75 МБ|1000 ГБ||
Intel Xeon Silver 4116|Xeon|Skylake|Intel LGA 3647|14 нм|2.1 ГГц|85 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2 / AVX-512, BMI, BMI1, BMI2, F16C, FMA3, EM64T, NX, XD, VT-x, TXT, TSX /|21|76 °С|12 cores|||24 threads|отсутствует|9.6 ГТ/с||||6 шт|BX806734116|3 ГГц||||||Есть|3.0|2400 МГц|||||||||||||768 КБ|12288 КБ|16.5 МБ|768 ГБ||
Intel Xeon E-2200 E-2224|Xeon|Coffee Lake|Intel LGA 1151 v2|14 нм|3.4 ГГц|71 Вт|SSE4.1, SSE4.2, AVX2||100 °С|4 cores|||4 threads|отсутствует|||||2 шт|CM8068404174707|4.6 ГГц|||||||3.0|2666 МГц|||||||||||||||8 МБ|128 ГБ||
AMD Ryzen Threadripper 1920X OEM|Ryzen Threadripper|Zeppelin (Zen)|AMD TR4|14 нм|3.5 ГГц|180 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, SSE4a, AES, AVX / AVX2, BMI, BMI1, BMI2, SHA, F16C, FMA3, AMD64, SMT, EVP, AMD-V, SMAP, SMEP /||68 °С|12 cores|||24 threads|отсутствует|||||4 шт|YD192XA8UC9AE|4 ГГц||Есть||||Есть||2667 МГц||||||||||19344 балл(ов)|32077 балл(ов)|2433 балл(ов)|1536 КБ|6144 КБ|32 МБ|128 ГБ||
Intel Xeon Gold Refresh 6230R OEM|Xeon|Cascade Lake|Intel LGA 3647|14 нм|2.1 ГГц|150 Вт|SSE4.2, AVX, AVX2, AVX-512||85 °С|26 cores|||52 threads|отсутствует|||||6 шт|CD8069504448800|4 ГГц||||||Есть||2933 МГц|||||||||||||||35.75 МБ|1000 ГБ||
Intel Xeon Scalable Silver 3rd Gen 4314|Xeon|Ice Lake|Intel LGA 4189|10 нм|2.4 ГГц|135 Вт|SSE4.2, AVX, AVX2, AVX-512||86 °С|16 cores|||32 threads|отсутствует|||||8 шт|BX806894314, CD8068904655303|3.4 ГГц||||||Есть||2667 МГц|||||||||||||||24 МБ|6000 ГБ||0675901957113, 5032037224673
Intel Xeon Scalable Silver 2nd Gen 4216|Xeon|Cascade Lake|Intel LGA 3647|14 нм|2.1 ГГц|100 Вт||21|79 °С|16 cores|||32 threads|отсутствует|||||6 шт|BX806954216, CD8069504213901|3.2 ГГц||||||Есть||2400 МГц|||||||||||||||22 МБ|1000 ГБ||0735858415668, 5032037159005, 5054444257112
Intel Xeon Gold Refresh 6238R OEM|Xeon|Cascade Lake|Intel LGA 3647|14 нм|2.2 ГГц|165 Вт|SSE4.2, AVX, AVX2, AVX-512||89 °С|28 cores|||56 threads|отсутствует|||||6 шт|CD8069504448701|4 ГГц||||||Есть||2933 МГц|||||||||||||||38.5 МБ|1000 ГБ||0675901818353
Intel Xeon Scalable Silver 3rd Gen 4316|Xeon|Ice Lake|Intel LGA 4189|10 нм|2.3 ГГц|150 Вт|SSE4.2, AVX, AVX2, AVX-512||84 °С|20 cores|||40 threads|отсутствует|||||8 шт|BX806894316, CD8068904656601|3.4 ГГц||||||Есть||2667 МГц|||||||||||||||30 МБ|6000 ГБ||0675901957083
Intel Xeon Silver 4215R|Xeon|Coffee Lake|Intel LGA 3647|14 нм|3.2 ГГц|130 Вт|SSE4.2, AVX, AVX2, AVX-512|32|79 °С|8 cores|||16 threads|отсутствует|||||6 шт|CD8069504449200|4 ГГц||||||Есть|3.0|2400 МГц|||||||||||||||11 МБ|1000 ГБ||
Intel Core i9 Rocket Lake i9-11900F OEM|Core i9|Rocket Lake|Intel LGA 1200|14 нм|2.5 ГГц|65 Вт|SSE4.1, SSE4.2, AVX2||100 °С|8 cores|||16 threads|отсутствует|8 ГТ/с||||2 шт|CM8070804488246|5.2 ГГц||||||Есть|4.0|3200 МГц||||||||||23632 балл(ов)|34373 балл(ов)||||16 МБ|128 ГБ||
Intel Xeon Scalable Silver 2nd Gen 4210|Xeon|Cascade Lake|Intel LGA 3647|14 нм|2.2 ГГц|85 Вт||22|78 °С|10 cores|||20 threads|отсутствует|||||6 шт||3.2 ГГц||||||Есть||2400 МГц|||||||||||||||14 МБ|1000 ГБ||
Intel Xeon Bronze 3104|Xeon|Skylake|Intel LGA 3647|14 нм|1.7 ГГц|85 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2 / AVX-512, BMI, BMI1, BMI2, F16C, FMA3, EM64T, NX, XD, VT-x, TXT, TSX /|17|78 °С|6 cores|||6 threads|отсутствует|9.6 ГТ/с||||6 шт|||||||||3.0|2133 МГц|||||||||||||384 КБ|6144 КБ|8.25 МБ|768 ГБ||
AMD Ryzen Threadripper 3000 3960X OEM|Ryzen Threadripper|Castle Peak (Zen 2)|AMD TRX4|7 нм|3.8 ГГц|280 Вт|||95 °С|24 cores|||48 threads|отсутствует|||||4 шт|100-000000010|4.5 ГГц||Есть||||Есть||3200 МГц||||||||||55465 балл(ов)|72568 балл(ов)|5933 балл(ов)|||128 МБ|||
Intel Xeon Silver 4112|Xeon|Skylake|Intel LGA 3647|14 нм|2.6 ГГц|85 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2 / AVX-512, BMI, BMI1, BMI2, F16C, FMA3, EM64T, NX, XD, VT-x, TXT, TSX /|26|76 °С|4 cores|||8 threads|отсутствует|9.6 ГТ/с||||6 шт|BX806734112|3 ГГц||||||Есть|3.0|2400 МГц|||||||||||||256 КБ|4096 КБ|8.25 МБ|768 ГБ||
Intel Xeon Scalable Silver 2nd Gen 4208|Xeon|Cascade Lake|Intel LGA 3647|14 нм|2.1 ГГц|85 Вт||21|78 °С|8 cores|||16 threads|отсутствует|||||6 шт||3.2 ГГц||||||Есть||2400 МГц|||||||||||||||11 МБ|1000 ГБ||
Intel Xeon Rocket Lake E-2314 OEM|Xeon|Rocket Lake|Intel LGA 1200|14 нм|2.8 ГГц|65 Вт|SSE4.1, SSE4.2, AVX2, AVX-512||100 °С|4 cores|||4 threads|отсутствует|8 ГТ/с||||2 шт|CM8070804496113|4.5 ГГц|||||||4.0|3200 МГц|||||||||||||||8 МБ|128 ГБ||
Intel Core i9 Comet Lake i9-10900F BOX|Core i9|Comet Lake|Intel LGA 1200|14 нм|2.8 ГГц|65 Вт|SSE4.1, SSE4.2, AVX2|28|100 °С|10 cores|||20 threads|отсутствует|8 ГТ/с||||2 шт|BX8070110900F, BXC8070110900F|5 ГГц||||||Есть|3.0|2933 МГц|||||5.1 ГГц|||||19348 балл(ов)|42192 балл(ов)||640 КБ|2560 КБ|20 МБ|128 ГБ||5032037188746
Intel Xeon Silver 4309Y|Xeon|Ice Lake|Intel LGA 4189|10 нм|2.8 ГГц|105 Вт|SSE4.2, AVX, AVX2, AVX-512|28|76 °С|8 cores|||16 threads|отсутствует|||||8 шт|BX806894309Y, CD8068904658102|3.6 ГГц||||||Есть||2667 МГц|||||||||||||||12 МБ|6000 ГБ||
AMD Milan EPYC 75F3 OEM|EPYC|Milan (Zen 3)|AMD SP3|7 нм|2.95 ГГц|280 Вт||||32 cores|||64 threads|отсутствует|||||8 шт|100-000000313|4 ГГц||||||Есть||3200 МГц|||||||||||||||256 МБ|||
Intel Core i5 Raptor Lake Refresh 14600K BOX|Core i5|Raptor Lake Refresh|Intel LGA 1700|10 нм||125 Вт|SSE4.1, SSE4.2, AVX2|||14 cores|||20 threads|UHD Graphics 770|||192 ГБ||2 шт|BX8071514600K, BXC8071514600K|||Есть|||24 МБ|Есть|5.0|3200 МГц|181 Вт|5600 МГц|3.5 ГГц|2.6 ГГц||5.3 ГГц|4 ГГц|6 cores|8 cores|||||||||
Intel Core i9 Comet Lake i9-10900KF BOX|Core i9|Comet Lake|Intel LGA 1200|14 нм|3.7 ГГц|125 Вт|SSE4.1, SSE4.2, AVX2|37|100 °С|10 cores|||20 threads|отсутствует|8 ГТ/с||||2 шт|BX8070110900KF, BXC8070110900KF|5.1 ГГц||||||Есть|3.0|2933 МГц|||||5.2 ГГц|||||24144 балл(ов)|37524 балл(ов)||||20 МБ|128 ГБ||
AMD Ryzen 7 Vermeer 5700X3D BOX|Ryzen 7|Vermeer (Zen 3)|AMD AM4|7 нм|3 ГГц|105 Вт|AVX2, FMA3, MMX(+), SHA, SSE, SSE2, SSE3, SSE4.1, SSE4.2||90 °С|8 cores|||16 threads|отсутствует|||128 ГБ||2 шт|100-100001503WOF|4.1 ГГц|BOX (без кулера)|Есть|||96 МБ|Есть|4.0|3200 МГц||||||||||||||||||
Intel Xeon Gold 2nd Gen 5217|Xeon|Cascade Lake|Intel LGA 3647|14 нм|3 ГГц|115 Вт|||79 °С|8 cores|||16 threads|отсутствует|||||6 шт|CD8069504214302|3.7 ГГц||||||Есть||2667 МГц|||||||||||||||11 МБ|1000 ГБ||
Intel Core i7 Raptor Lake Refresh 14700F OEM|Core i7|Raptor Lake Refresh|Intel LGA 1700|10 нм||65 Вт|SSE4.1, SSE4.2, AVX2||100 °С|20 cores|||28 threads|отсутствует|||192 ГБ||2 шт|CM8071504820816||OEM (без коробки)||||33 МБ|Есть|5.0|3200 МГц|219 Вт|5600 МГц|2.1 ГГц|1.5 ГГц|5.4 ГГц|5.3 ГГц|4.2 ГГц|8 cores|12 cores|||||||||
Intel Pentium Comet Lake G6400 BOX|Pentium|Comet Lake|Intel LGA 1200|14 нм|4 ГГц|58 Вт|SSE4.1, SSE4.2|40|100 °С|2 cores|||4 threads|UHD Graphics 610|8 ГТ/с||||2 шт|BX80701G6400, BXC80701G6400|||||||Есть|3.0|2666 МГц||||||||||4137 балл(ов)|||||4 МБ|128 ГБ|Есть|
Intel Xeon Silver 4310|Xeon|Ice Lake|Intel LGA 4189|10 нм|2.1 ГГц|120 Вт|SSE4.2, AVX, AVX2, AVX-512|21|82 °С|12 cores|||24 threads|отсутствует|||||8 шт|BX806894310, CD8068904657901|3.3 ГГц||||||Есть||2667 МГц|||||||||||||||18 МБ|6000 ГБ||
AMD Ryzen 5 Renoir-X 4500 BOX|Ryzen 5|Renoir (Zen 2)|AMD AM4|7 нм|3.6 ГГц|65 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4A, AES, AVX, AVX 2, BMI1, SHA / AMD64, EVP, AMD-V, SMAP, SMEP, Precision Boost /||95 °С|6 cores|||12 threads|отсутствует|||||2 шт|100-100000644BOX|4.1 ГГц||Есть||||Есть|3.0|3200 МГц|||||||||||||384 КБ|3072 КБ|8 МБ||Есть|0730143314114
Intel Celeron Comet Lake G5900 OEM|Celeron|Comet Lake|Intel LGA 1200|14 нм|3.4 ГГц|58 Вт|SSE4.1, SSE4.2|34|100 °С|2 cores|||2 threads|UHD Graphics 610|8 ГТ/с||||2 шт|CM8070104292110||||||||3.0|2666 МГц||||||||||2762 балл(ов)|||||2 МБ|128 ГБ||
AMD Ryzen Threadripper PRO 3955WX BOX|Ryzen Threadripper|Castle Peak (Zen 2)|AMD WRX8|7 нм|3.9 ГГц|280 Вт||39|90 °С|16 cores|||32 threads|отсутствует|||||8 шт|100-100000167WOF|4.3 ГГц||||||Есть||3200 МГц||||||||||41566 балл(ов)|||1024 КБ|8192 КБ|64 МБ|||
Intel Xeon Bronze 3204|Xeon|Cascade Lake|Intel LGA 3647|14 нм|1.9 ГГц|85 Вт|SSE4.2, AVX, AVX2, AVX-512|19|77 °С|6 cores|||6 threads|отсутствует|||||6 шт|BX806953204, CD8069503956700|||||||||2133 МГц|||||||||||||||8.25 МБ|1000 ГБ||
AMD Ryzen 7 Vermeer 5700X3D OEM|Ryzen 7|Vermeer (Zen 3)|AMD AM4|7 нм|3 ГГц|105 Вт|AVX2, FMA3, MMX(+), SHA, SSE, SSE2, SSE3, SSE4.1, SSE4.2||90 °С|8 cores|||16 threads|отсутствует|||128 ГБ||2 шт|100-000001503|4.1 ГГц|OEM (без коробки)|Есть|||96 МБ|Есть|4.0|3200 МГц||||||||||||||||||
Intel Core i9 Rocket Lake i9-11900 OEM|Core i9|Rocket Lake|Intel LGA 1200|14 нм|2.5 ГГц|65 Вт|SSE4.1, SSE4.2, AVX2||100 °С|8 cores|||16 threads|UHD Graphics 750|8 ГТ/с||||2 шт|CM8070804488245|5.2 ГГц||||||Есть|4.0|3200 МГц||||||||||23505 балл(ов)||2541 балл(ов)|||16 МБ|128 ГБ||
Intel Pentium Comet Lake Refresh G6405 OEM|Pentium|Comet Lake Refresh|Intel LGA 1200|14 нм|4.1 ГГц|58 Вт|SSE4.1, SSE4.2||100 °С|2 cores|||4 threads|UHD Graphics 610|8 ГТ/с||||2 шт|CM8070104291811|||||||Есть|3.0|2666 МГц||||||||||4275 балл(ов)|||||4 МБ|128 ГБ||
Intel Core i9 Comet Lake i9-10900 OEM|Core i9|Comet Lake|Intel LGA 1200|14 нм|2.8 ГГц|65 Вт|SSE4.1, SSE4.2, AVX2|28|100 °С|10 cores|||20 threads|UHD Graphics 630|8 ГТ/с||||2 шт|CM8070104282624|5 ГГц||||||Есть|3.0|2933 МГц|||||5.1 ГГц|||||20567 балл(ов)||2541 балл(ов)|||20 МБ|128 ГБ||
